clade_name	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
OFGB59496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00363	0.0	0.0	0.0	0.00156	0.00863	0.00577	0.0
OFGB9304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00251	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OFGB9916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OFGB3146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014	0.0	0.00056	0.00028	0.00124	0.05078	0.00105	0.0
OFGB9119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00119	0.0	0.0	0.0	0.00109	0.04898	0.01136	0.0
OFGB77358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00096	0.0	0.0	0.02564	0.27053	0.36936	0.0179	0.0
OFGB15212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007	0.0	0.0	0.00163	0.08542	0.00901	0.0	0.0
OFGB89402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00067	0.00064	0.00155	0.0	0.0	0.0	0.0	0.0
OFGB78292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00057	0.0	0.00052	0.0	0.00322	0.0	0.0	0.0
Aeromonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00054	0.01685	0.0002	0.0	0.0	0.0	0.0	14.53537
OFGB92048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00041	0.0	0.00505	0.0	0.0	0.00541	0.0	0.0
OFGB79315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035	0.0	0.0	0.63104	2.75263	0.6898	1.13858	0.0
OFGB9655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.00103	0.0	0.00266	0.0	0.02369	0.0	0.0
OFGB77245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018	0.00059	0.00273	6.23111	1.25254	0.29016	2.18986	0.0
OFGB78381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13169	0.02904	0.0049	0.0	0.01641	0.0	0.0
OFGB78202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08114	0.0	0.0	0.0	0.0	0.0	0.0
OFGB11420	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00283	0.0	0.0	0.0	0.0	0.02297	0.0
OFGB1359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00252	0.00725	0.0	0.0	0.0	0.0	0.0
OFGB58129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024	0.00196	0.0	0.0	0.0	0.0	0.0
OFGB28127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00212	0.0	0.0	0.0	0.0	0.0	0.0
OFGB58314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046	0.0	0.0	0.0	0.0	0.0	0.0
OFGB49551	0.0	0.0	0.0	0.0	0.00876	0.0	0.0	0.02681	0.0	0.0	0.5957	0.0	0.0	0.0	0.00036	0.0	0.0	0.0	0.0	0.0	0.0
Anaeroplasmatales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.0	0.0	7e-05	0.0	0.0	0.0
OFGB88363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024	0.00585	0.0	0.0	0.0	0.0	0.0
Rhodobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03315	0.0	0.0	0.0	0.0	0.0	0.0	0.01469	0.0	0.0	0.0	0.0	4.06919
OFGB85635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00626	0.0	0.0	0.0	0.0	0.0
OFGB88503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043	0.0	0.0	0.0	0.0	0.0
OFGB79077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00421	0.0	0.0	0.0	0.0	0.0
OFGB34282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00325	0.0	0.04632	0.06983	0.00072	0.0
OFGB78966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00237	0.0	0.0	0.0	0.0	0.0
Hyphomicrobiales	0.0	0.01362	0.00487	0.00306	0.0	0.0	0.0	0.0	1.17577	0.0	0.0	0.0	0.0	0.0	0.0	0.0022	0.0	0.0	0.0	0.0	0.0
OFGB78327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00212	0.0	0.0	0.0	0.0	0.0
OFGB3243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021	0.0	0.0	0.0	0.0	0.0
OFGB32540	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00198	0.00284	0.00013	0.02857	0.00105	0.0
OFGB47462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00078	0.0	0.0	0.0	0.0	0.0
OFGB88472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00054	0.0	0.0	0.0	0.0	0.0
Sphingomonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.0
OFGB9341	2.15727	0.34217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OFGB620	1.67288	15.76479	0.0	12.0145	0.0	0.0	0.0	0.0	0.0222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OFGB7500	1.54383	2.40484	10.44757	8.01965	6.50925	3.29606	2.81039	3.48214	8.48633	13.82967	16.57137	6.68263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OFGB7552	0.67316	1.57076	28.20679	0.84608	0.1784	0.13923	0.47759	0.11415	0.53405	0.20876	0.04993	0.08709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OFGB7499	0.64635	0.55077	0.89367	0.97294	1.03299	0.05137	1.27635	1.91953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OFGB10138	0.56735	3.16891	2.05518	3.90772	0.48747	0.29556	1.56792	0.52682	0.30119	0.70636	0.38024	0.06605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
